Category id,Product Name,Parent Operator,Current Operator,Circle,Number Status,Activation Date,Recharge Date,Recharge Amount,Recharge Validity,Last Calling Date,Rate In Ruppes,Discount
6,7557775577,Idea,Idea,Maharashtra,FRESH,14-Sep-19, , ,,,48000,0
13,6265999999,Airtel ,Airtel ,Mumbai,V2V,30-Jul-19, , ,,,60000,0
13,7520333333,Vodafone ,Vodafone ,Mumbai,I2I,30-Jul-19, , ,,,40000,0
13,7520444444,Vodafone ,Vodafone ,Mumbai,Pretopost,30-Jul-19,,,,,40000,
6,9628796287,Idea,Idea,Maharashtra,RTP, ,,,,,10000,
6,8197481974,Vodafone ,Vodafone ,Mumbai,Pretopost,18-Sep-19,,,,,8000,
6,8545985459,Vodafone ,Vodafone ,Mumbai,Pretopost,18-Sep-19,,,,,11000,
6,7375873758,Vodafone ,Vodafone ,Mumbai,Pretopost,30-Jul-19,,,,,10000,
18,9389389834,Jio,Jio,Mumbai,Pretopost,17-Sep-19,,,,,10000,
18,9389389837,Airtel,Airtel,Mumbai,Pretopost,15-Sep-19,,,,,10000,
2,8282929282,Airtel/Docomo,Airtel/Docomo,Kolkata,Pretopost,09-Sep-19,,,,,200,
12,7550777774,Airtel,Airtel,Mumbai,Pretopost,08-Sep-19,,,,,1800,
7,8282982823,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,1000,
11,8976300001,Airtel/Docomo,Airtel/Docomo,Mumbai,RTP, ,,,,,1000,
2,8655552200,Airtel/Docomo,Airtel/Docomo,Mumbai,Pretopost,22-Aug-19,,,,,1000,
17,8797712712,Airtel/Docomo,Airtel/Docomo,Bihar,RTP, ,,,,,1000,
11,8976200006,Airtel/Docomo,Airtel/Docomo,Mumbai,RTP, ,,,,,1000,
7,9882988274,Idea,Idea,Maharashtra,I2I,23-Jul-19,,,,,800,
2,9881888728,Idea,Idea,Maharashtra,RTP, ,,,,,500,
3,8282825839,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825869,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825870,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825894,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827370,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827913,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827943,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282824418,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282824429,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP,  ,,,,,600,
3,8282824451,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282824457,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282824471,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282824476,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825537,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825549,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825578,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825594,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825596,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282825597,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827749,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827751,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827753,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827756,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282827763,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
3,8282829958,Airtel/Docomo,Airtel/Docomo,Kolkata,RTP, ,,,,,600,
2,9224208420,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
2,9221009003,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
2,9222243624,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
7,8822472288,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
7,8822512288,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
7,8822572288,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,9835621313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,9905481313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,9693521313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,9693211313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,9693061313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,7856981313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,7857011313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,7061851313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,7061551313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,7061591313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
3,7061881313,Jio,Jio,Mumbai,C Code RTP, ,,,,,100,
