Category id,Vendor ID,Product Type,Operator,Circle,RTP Type,Product Name,Product Code,Description,Additional Description,Rate In Ruppes,Vendor Rate,Discount,Page Title,Page Keywords,Page Description
6,1,Featured,Idea ,Maharashtra,N,7557775577,NW1001,Description,Additional Description,200000,48000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
13,1,Featured,Airtel , Mumbai,N,6265999999,NW1002,Description,Additional Description,125000,60000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
13,1,Featured,Vodafone , Mumbai,N,7520333333,NW1003,Description,Additional Description,50000,40000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
13,1,Featured,Vodafone , Mumbai,N,7520444444,NW1004,Description,Additional Description,50000,40000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
6,1,Featured,Idea ,Maharashtra,y,9628796287,NW1005,Description,Additional Description,25000,10000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
6,1,Featured,Vodafone, Mumbai,N,8197481974,NW1006,Description,Additional Description,17500,8000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
6,1,Featured,Vodafone, Mumbai,N,8545985459,NW1007,Description,Additional Description,17500,11000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
6,1,Featured,Vodafone , Mumbai,N,7375873758,NW1008,Description,Additional Description,17500,10000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
18,1,Featured,Jio , Mumbai,N,9389389834,NW1009,Description,Additional Description,20000,10000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
18,1,Featured,Airtel , Mumbai,N,9389389837,NW1010,Description,Additional Description,20000,10000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,N,8282929282,NW1011,Description,Additional Description,20000,200,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
12,1,Featured,Airtel , Mumbai,N,7550777774,NW1012,Description,Additional Description,8500,1800,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
7,1,Featured,Tata,Kolkata,y,8282982823,NW1013,Description,Additional Description,8500,1000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
11,1,Featured,Tata, Mumbai,y,8976300001,NW1014,Description,Additional Description,8500,1000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
11,1,Featured,Tata, Mumbai,N,8655552200,NW1015,Description,Additional Description,4000,1000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
17,1,Featured,Tata,Bihar,y,8797712712,NW1016,Description,Additional Description,3500,1000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
11,1,Featured,Tata, Mumbai,y,8976200006,NW1017,Description,Additional Description,3500,1000,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
2,1,Featured,Idea ,Maharashtra,N,9882988274,NW1018,Description,Additional Description,2500,800,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
